UID,WID,Understand,attempt
60910022,99,2,1
60910022,127,2,1
60910022,129,2,1
60910022,138,4,1
60910022,139,2,1
60910022,141,2,1
60910022,143,4,1
60910022,147,2,1
60910022,160,2,1
60910022,161,2,1
60910022,162,4,1
60910022,176,2,1
60910022,181,2,1
60910022,184,2,1
60910022,186,2,1
60910022,191,2,1
60910037,22,4,1
60910037,32,4,1
60910037,45,2,1
60910037,46,4,1
60910037,54,2,1
60910037,58,2,1
60910037,59,2,1
60910037,60,2,1
60910037,61,2,1
60910037,67,2,1
60910037,68,2,1
60910037,76,2,1
60910037,89,2,1
60910037,92,4,1
60910037,99,2,1
60910037,127,2,1
60910037,129,2,1
60910037,138,2,1
60910037,139,2,1
60910037,141,2,1
60910037,143,2,1
60910037,147,2,1
60910037,160,2,1
60910037,161,2,1
60910037,162,2,1
60910037,176,2,1
60910037,181,2,1
60910037,184,2,1
60910037,186,2,1
60910037,191,4,1
60910044,22,4,1
60910044,32,4,1
60910044,45,2,1
60910044,46,2,1
60910044,54,2,1
60910044,58,2,1
60910044,59,2,1
60910044,60,4,1
60910044,61,2,1
60910044,67,4,1
60910044,68,4,1
60910044,76,2,1
60910044,89,2,1
60910044,92,4,1
60910044,99,2,1
60910044,127,2,1
60910044,129,2,1
60910044,138,2,1
60910044,139,2,1
60910044,141,2,1
60910044,143,4,1
60910044,147,2,1
60910044,160,2,1
60910044,161,2,1
60910044,162,2,1
60910044,176,2,1
60910044,181,2,1
60910044,184,2,1
60910044,186,2,1
60910044,191,2,1
60910046,22,4,1
60910046,32,4,1
60910046,45,2,1
60910046,46,4,1
60910046,54,4,1
60910046,58,2,1
60910046,59,4,1
60910046,60,4,1
60910046,61,2,1
60910046,67,4,1
60910046,68,4,1
60910046,76,4,1
60910046,89,2,1
60910046,92,4,1
60910046,99,4,1
60910046,127,2,1
60910046,129,2,1
60910046,138,2,1
60910046,139,2,1
60910046,141,2,1
60910046,143,4,1
60910046,147,2,1
60910046,160,2,1
60910046,161,2,1
60910046,162,4,1
60910046,176,4,1
60910046,181,4,1
60910046,184,2,1
60910046,186,2,1
60910046,191,4,1
60910090,22,4,1
60910090,32,4,1
60910090,45,2,1
60910090,46,4,1
60910090,54,4,1
60910090,58,4,1
60910090,59,2,1
60910090,60,4,1
60910090,61,4,1
60910090,67,4,1
60910090,68,4,1
60910090,76,2,1
60910090,89,4,1
60910090,92,2,1
60910090,99,4,1
60910090,127,4,1
60910090,129,2,1
60910090,138,2,1
60910090,139,2,1
60910090,141,2,1
60910090,143,4,1
60910090,147,2,1
60910090,160,2,1
60910090,161,2,1
60910090,162,4,1
60910090,176,2,1
60910090,181,4,1
60910090,184,2,1
60910090,186,4,1
60910090,191,4,1
60910103,22,4,1
60910103,32,4,1
60910103,45,2,1
60910103,46,4,1
60910103,54,4,1
60910103,58,2,1
60910103,59,4,1
60910103,60,2,1
60910103,61,4,1
60910103,67,4,1
60910103,68,4,1
60910103,76,2,1
60910103,89,2,1
60910103,92,4,1
60910103,99,4,1
60910103,127,4,1
60910103,129,4,1
60910103,138,2,1
60910103,139,2,1
60910103,141,2,1
60910103,143,4,1
60910103,147,2,1
60910103,160,2,1
60910103,161,2,1
60910103,162,4,1
60910103,176,2,1
60910103,181,2,1
60910103,184,2,1
60910103,186,2,1
60910103,191,4,1
60911041,22,4,1
60911041,32,4,1
60911041,45,2,1
60911041,46,4,1
60911041,54,4,1
60911041,58,2,1
60911041,59,2,1
60911041,60,2,1
60911041,61,2,1
60911041,67,4,1
60911041,68,4,1
60911041,76,2,1
60911041,89,2,1
60911041,92,4,1
60911041,99,4,1
60911041,127,2,1
60911041,129,2,1
60911041,138,2,1
60911041,139,4,1
60911041,141,2,1
60911041,143,4,1
60911041,147,2,1
60911041,160,2,1
60911041,161,2,1
60911041,162,4,1
60911041,176,4,1
60911041,181,2,1
60911041,184,2,1
60911041,186,4,1
60911041,191,4,1
60911043,22,4,1
60911043,32,4,1
60911043,45,4,1
60911043,46,4,1
60911043,54,4,1
60911043,58,2,1
60911043,59,4,1
60911043,60,2,1
60911043,61,4,1
60911043,67,4,1
60911043,68,2,1
60911043,76,2,1
60911043,89,2,1
60911043,92,4,1
60911043,99,2,1
60911043,127,4,1
60911043,129,4,1
60911043,138,4,1
60911043,139,2,1
60911043,141,2,1
60911043,143,4,1
60911043,147,2,1
60911043,160,2,1
60911043,161,2,1
60911043,162,4,1
60911043,176,4,1
60911043,181,4,1
60911043,184,2,1
60911043,186,2,1
60911043,191,4,1
60911060,22,4,1
60911060,32,4,1
60911060,45,4,1
60911060,46,4,1
60911060,54,2,1
60911060,58,4,1
60911060,59,2,1
60911060,60,2,1
60911060,61,2,1
60911060,67,4,1
60911060,68,4,1
60911060,76,2,1
60911060,89,4,1
60911060,92,4,1
60911060,99,2,1
60911060,127,2,1
60911060,129,2,1
60911060,138,2,1
60911060,139,2,1
60911060,141,2,1
60911060,143,4,1
60911060,147,2,1
60911060,160,2,1
60911060,161,2,1
60911060,162,4,1
60911060,176,2,1
60911060,181,2,1
60911060,184,4,1
60911060,186,2,1
60911060,191,2,1
60911065,22,4,1
60911065,32,4,1
60911065,45,2,1
60911065,46,4,1
60911065,54,4,1
60911065,58,4,1
60911065,59,4,1
60911065,60,4,1
60911065,61,4,1
60911065,67,4,1
60911065,68,4,1
60911065,76,2,1
60911065,89,4,1
60911065,92,2,1
60911065,99,2,1
60911065,127,4,1
60911065,129,4,1
60911065,138,4,1
60911065,139,2,1
60911065,141,2,1
60911065,143,4,1
60911065,147,2,1
60911065,160,2,1
60911065,161,2,1
60911065,162,4,1
60911065,176,4,1
60911065,181,2,1
60911065,184,2,1
60911065,186,2,1
60911065,191,2,1
60911069,22,4,1
60911069,32,4,1
60911069,45,2,1
60911069,46,4,1
60911069,54,2,1
60911069,58,2,1
60911069,59,2,1
60911069,60,2,1
60911069,61,4,1
60911069,67,4,1
60911069,68,4,1
60911069,76,2,1
60911069,89,2,1
60911069,92,2,1
60911069,99,2,1
60911069,127,2,1
60911069,129,2,1
60911069,138,2,1
60911069,139,2,1
60911069,141,2,1
60911069,143,4,1
60911069,147,2,1
60911069,160,2,1
60911069,161,2,1
60911069,162,2,1
60911069,176,2,1
60911069,181,2,1
60911069,184,2,1
60911069,186,2,1
60911069,191,4,1
60911072,22,4,1
60911072,32,4,1
60911072,45,4,1
60911072,46,4,1
60911072,54,4,1
60911072,58,4,1
60911072,59,2,1
60911072,60,2,1
60911072,61,4,1
60911072,67,4,1
60911072,68,4,1
60911072,76,2,1
60911072,89,4,1
60911072,92,4,1
60911072,99,2,1
60911072,127,2,1
60911072,129,2,1
60911072,138,2,1
60911072,139,2,1
60911072,141,2,1
60911072,143,4,1
60911072,147,2,1
60911072,160,2,1
60911072,161,2,1
60911072,162,2,1
60911072,176,2,1
60911072,181,2,1
60911072,184,2,1
60911072,186,4,1
60911072,191,4,1
90910001,22,4,1
90910001,32,4,1
90910001,45,2,1
90910001,46,2,1
90910001,54,4,1
90910001,58,2,1
90910001,59,4,1
90910001,60,4,1
90910001,61,2,1
90910001,67,4,1
90910001,68,4,1
90910001,76,2,1
90910001,89,4,1
90910001,92,4,1
90910001,99,4,1
90910001,127,2,1
90910001,129,4,1
90910001,138,4,1
90910001,139,2,1
90910001,141,2,1
90910001,143,4,1
90910001,147,2,1
90910001,160,2,1
90910001,161,2,1
90910001,162,4,1
90910001,176,4,1
90910001,181,2,1
90910001,184,2,1
90910001,186,2,1
90910001,191,4,1
90910004,22,4,1
90910004,32,4,1
90910004,45,4,1
90910004,46,4,1
90910004,54,4,1
90910004,58,4,1
90910004,59,4,1
90910004,60,4,1
90910004,61,2,1
90910004,67,4,1
90910004,68,4,1
90910004,76,2,1
90910004,89,4,1
90910004,92,4,1
90910004,99,4,1
90910004,127,2,1
90910004,129,4,1
90910004,138,2,1
90910004,139,2,1
90910004,141,2,1
90910004,143,4,1
90910004,147,4,1
90910004,160,2,1
90910004,161,2,1
90910004,162,4,1
90910004,176,4,1
90910004,181,2,1
90910004,184,2,1
90910004,186,2,1
90910004,191,4,1
90910033,22,4,1
90910033,32,4,1
90910033,45,4,1
90910033,46,4,1
90910033,54,4,1
90910033,58,2,1
90910033,59,4,1
90910033,60,4,1
90910033,61,4,1
90910033,67,4,1
90910033,68,4,1
90910033,76,2,1
90910033,89,4,1
90910033,92,4,1
90910033,99,4,1
90910033,127,4,1
90910033,129,4,1
90910033,138,2,1
90910033,139,2,1
90910033,141,4,1
90910033,143,4,1
90910033,147,4,1
90910033,160,2,1
90910033,161,2,1
90910033,162,2,1
90910033,176,4,1
90910033,181,4,1
90910033,184,4,1
90910033,186,4,1
90910033,191,4,1
90910034,22,4,1
90910034,32,4,1
90910034,45,2,1
90910034,46,4,1
90910034,54,4,1
90910034,58,2,1
90910034,59,2,1
90910034,60,2,1
90910034,61,4,1
90910034,67,4,1
90910034,68,2,1
90910034,76,2,1
90910034,89,2,1
90910034,92,2,1
90910034,99,2,1
90910034,127,2,1
90910034,129,4,1
90910034,138,4,1
90910034,139,2,1
90910034,141,4,1
90910034,143,4,1
90910034,147,2,1
90910034,160,2,1
90910034,161,2,1
90910034,162,4,1
90910034,176,4,1
90910034,181,2,1
90910034,184,2,1
90910034,186,2,1
90910034,191,4,1
90910038,22,4,1
90910038,32,4,1
90910038,45,2,1
90910038,46,4,1
90910038,54,2,1
90910038,58,4,1
90910038,59,2,1
90910038,60,2,1
90910038,61,4,1
90910038,67,4,1
90910038,68,4,1
90910038,76,2,1
90910038,89,4,1
90910038,92,2,1
90910038,99,4,1
90910038,127,2,1
90910038,129,4,1
90910038,138,4,1
90910038,139,2,1
90910038,141,2,1
90910038,143,4,1
90910038,147,2,1
90910038,160,2,1
90910038,161,2,1
90910038,162,4,1
90910038,176,4,1
90910038,181,4,1
90910038,184,2,1
90910038,186,2,1
90910038,191,2,1
